scraped_id,source,company_name,prefecture,city,title,qualification,salary_type,monthly_min,monthly_max,yearly_min,yearly_max,phone_number,url,scraped_at
DK150025,combined,神田電気株式会社New,,,【資格・経験不問の施工管理】出張・夜勤なし！育休やリフレッシュ休暇など制度充実◎協力会社も募集,電気工事士,monthly,,,,,,https://koujishi.com/detail/1500254/,2025-11-30
UN0002,combined,株式会社New,,,神田電気株式会社New,電気工事士,monthly,,,,,,,2025-11-30
DK150025,combined,神田電気株式会社New,,,前職給与を考慮◎未経験3年目で年収500万も可能♪電気工事士の募集／資格経験不問＜協力会社も募集＞,電気工事士,monthly,,,,,,https://koujishi.com/detail/1500253/,2025-11-30
UN0004,combined,株式会社New,,,神田電気株式会社New,電気工事士,monthly,,,,,,,2025-11-30
DK150025,combined,有限会社アラテックNew,,,《未経験OK／資格不問》福島に密着＊出張ほぼナシ◆一般電気工事・計装工事など◆30代も活躍中,電気工事士,monthly,,,,,,https://koujishi.com/detail/1500252/,2025-11-30
UN0006,combined,有限会社アラテックNew,,,有限会社アラテックNew,電気工事士,monthly,,,,,,,2025-11-30
DK149940,combined,株式会社金指電気工業New,,,＼無資格・未経験OK◆電気工事士／未経験でも月給26万円以上◎大手サブコンから直請負いの安定企業,電気工事士,monthly,,,,,,https://koujishi.com/detail/1499409/,2025-11-30
UN0008,combined,株式会社金指電気工業New,,,株式会社金指電気工業New,電気工事士,monthly,,,,,,,2025-11-30
DK149853,combined,株式会社YDENTSUNew,,,【都内の現場中心｜電気通信工事士】未経験歓迎！資格なしOK！一から丁寧に育てる職場です◎資格取得支援,電気工事士,monthly,,,,,,https://koujishi.com/detail/1498534/,2025-11-30
UN0010,combined,株式会社YDENTSUNew,,,株式会社YDENTSUNew,電気工事士,monthly,,,,,,,2025-11-30
DK150007,combined,静和通信工業株式会社New,,,【東京電力からの依頼多数】電気工事＆エンジニア業務／資格経験不問◆年休122日＆1週間程の連休OK！,電気工事士,monthly,,,,,,https://koujishi.com/detail/1500079/,2025-11-30
UN0012,combined,株式会社New,,,静和通信工業株式会社New,電気工事士,monthly,,,,,,,2025-11-30
DK150019,combined,株式会社サンテック電工New,,,【未経験OK！資格不問】わかるまで何度でも教えます◎資格取得支援あり＜商業施設や住宅等の電気工事＞,電気工事士,monthly,,,,,,https://koujishi.com/detail/1500190/,2025-11-30
UN0014,combined,株式会社サンテック電工New,,,株式会社サンテック電工New,電気工事士,monthly,,,,,,,2025-11-30
DK149950,combined,宮永電設株式会社New,,,【街路灯の設置や公共施設の電気工事＆施工管理】残業月10h★入社祝い金5万円＜未経験OK・資格不問＞,電気工事士,monthly,,,,,,https://koujishi.com/detail/1499500/,2025-11-30
UN0016,combined,株式会社New,,,宮永電設株式会社New,電気工事士,monthly,,,,,,,2025-11-30
DK149951,combined,株式会社ナカックスNew,,,＼大手と安定取引／JRや中部電力などの機械設備を手掛ける！未経験OKの電気工事士募集／資格不問,電気工事士,monthly,,,,,,https://koujishi.com/detail/1499515/,2025-11-30
UN0018,combined,株式会社ナカックスNew,,,株式会社ナカックスNew,電気工事士,monthly,,,,,,,2025-11-30
DK149954,combined,株式会社コムニーシステムNew,,,書類選考なし★面接1回／オフィスやデータセンターの新設・増設・移設に伴う電気LAN工事◎資格経験不問,電気工事士,monthly,,,,,,https://koujishi.com/detail/1499548/,2025-11-30
UN0020,combined,株式会社コムニーシステムNew,,,株式会社コムニーシステムNew,電気工事士,monthly,,,,,,,2025-11-30
