【通話書き起こし】
日時: 2025年1月16日 10:30-11:05
CA: 佐藤二郎 (CA002)
求職者: 鈴木花子 様

---

[00:00] CA: もしもし、鈴木さんのお電話でしょうか？

[00:04] 求職者: はい、そうです。

[00:06] CA: あ、佐藤です。転職の件で電話しました。今大丈夫ですか？

[00:12] 求職者: はい、大丈夫です。

[00:15] CA: じゃあ、早速なんですけど、今どんな仕事してるんですか？

[00:22] 求職者: 電気工事士として働いています。主に住宅の配線工事をやっています。

[00:30] CA: へー、住宅ですか。で、なんで転職したいんですか？

[00:38] 求職者: えっと、今の会社だとキャリアアップが難しくて...もっと大きな現場を経験したいと思っています。

[00:50] CA: なるほどね。資格は持ってます？

[00:55] 求職者: 第二種電気工事士を持っています。第一種も勉強中です。

[01:02] CA: 第二種か...。年収はいくらぐらい？

[01:08] 求職者: 320万円くらいです。

[01:12] CA: うーん、第二種だとちょっと厳しいかもしれないですね。希望年収は？

[01:20] 求職者: できれば380万くらいは...

[01:25] CA: 380万か...。第一種取ってからの方がいいかもしれないですね。

[01:35] 求職者: そうですか...。でも、今すぐ転職したいんです。

[01:42] CA: まあ、一応いくつか紹介しますけど。えーと、1社目は...

[01:52] CA: ○○工業ってところがあって、年収300万〜350万くらいです。

[02:02] 求職者: 今とあまり変わらないですね...

[02:07] CA: まあ、第二種だとこのくらいが相場ですからね。

[02:15] 求職者: 他にはないですか？

[02:18] CA: えーと、あとは△△電設ってところ。こっちは340万〜380万くらい。

[02:28] 求職者: そちらの方が良さそうですね。詳しく教えてもらえますか？

[02:35] CA: まあ、ビル管理の電気設備担当ですね。残業はそこそこあるみたいです。

[02:45] 求職者: そこそこってどのくらいですか？

[02:50] CA: 詳しくは聞いてないですけど、30〜40時間くらいじゃないですかね。

[03:00] 求職者: 結構ありますね...

[03:05] CA: まあ、この業界はそんなもんですよ。どうします？応募します？

[03:15] 求職者: もう少し考えさせてください...

[03:20] CA: わかりました。じゃあ、決まったら連絡ください。

[03:25] 求職者: あの、他に聞きたいことがあるんですが...

[03:30] CA: 何ですか？

[03:32] 求職者: 第一種を取得した後なら、もっと良い求人はありますか？

[03:40] CA: まあ、あると思いますよ。取ったらまた連絡してください。

[03:48] 求職者: わかりました...

[03:52] CA: じゃあ、そういうことで。また連絡待ってます。

[03:58] 求職者: はい、ありがとうございました。

[04:02] CA: はい、どうも。

---
通話終了
